datetime	FF	FX	N	P	T	TD	U	gasPower	hour	dayofweek	season
2017/2/27 1:00	7.715747484	11.67425442	7.728904704	1005.146743	9.988356801	6.494859738	78.99213616	0.131746777	1	0	1
2017/2/27 2:00	6.8778365	10.38855333	7.753036741	1004.728513	9.944796104	6.310306174	78.21585195	0.286210703	2	0	1
2017/2/27 3:00	7.039510299	10.33049786	7.772670136	1004.355605	9.978849803	6.634848112	79.68220854	0.152415249	3	0	1
2017/2/27 4:00	6.29220517	9.403893863	7.788680581	1003.787876	9.887647662	7.631656255	86.00899306	0.11935572	4	0	1
2017/2/27 5:00	6.365840919	9.529882753	7.677439704	1002.907747	10.15510055	7.312900455	82.44671283	0.14305258	5	0	1
2017/2/27 6:00	6.331840422	9.615826542	7.808025679	1001.952557	10.06337903	6.260350681	77.45414635	0.111152357	6	0	1
2017/2/27 7:00	6.785118439	10.37639741	7.817717264	1000.92426	9.937092641	6.151460068	77.84179615	0.14624234	7	0	1
2017/2/27 8:00	7.230280196	10.51133293	7.825716538	1000.447903	9.622234069	6.051449456	78.51021964	0.067500302	8	0	1
2017/2/27 9:00	7.788445068	12.75580235	7.708051582	999.5392552	9.786004232	5.463520662	74.65281575	0.120291789	9	0	1
2017/2/27 10:00	8.067610321	13.02491149	7.833405888	998.5135859	9.467154033	5.707756577	77.30070392	0.15555605	10	0	1
2017/2/27 11:00	9.155457528	14.11693858	7.838896073	997.7150596	9.218170434	6.402506926	82.83761864	0.143089525	11	0	1
2017/2/27 12:00	8.644066873	13.7101324	7.097847561	996.6542586	9.6546733	5.847015179	76.36367467	0.115336399	12	0	1
2017/2/27 13:00	7.708160116	11.54095924	7.32348596	995.8032103	8.501567853	7.319610107	92.32821194	0.122513216	13	0	1
2017/2/27 14:00	7.09578595	10.43189132	6.444186804	994.2656362	8.923775726	7.473387805	90.31166008	0.15362387	14	0	1
2017/2/27 15:00	5.109495777	7.693670819	6.902421877	992.6580918	8.598762604	7.987549903	95.85375363	0.121544415	15	0	1
2017/2/27 16:00	6.982326801	10.84778529	6.888950568	990.9709822	8.752109446	7.035136943	88.16214072	0.113069576	16	0	1
2017/2/27 17:00	8.930894015	12.8360829	6.878109626	987.6850541	9.346992291	6.720144577	84.04573016	0.157294534	17	0	1
2017/2/27 18:00	9.486643211	14.09890088	7.490543144	986.4270911	8.46245397	4.860491613	77.315106	0.125617795	18	0	1
2017/2/27 19:00	9.01834559	13.97300759	5.39397985	986.5833229	8.345214645	5.271548289	80.88013333	0.099800877	19	0	1
2017/2/27 20:00	8.92913761	13.45981969	6.69707257	986.5396815	8.227756472	5.174202604	80.21651904	0.078247416	20	0	1
2017/2/27 21:00	10.89272055	16.28122078	6.694790542	987.2819357	7.613017785	3.560953888	74.08695227	0.103842693	21	0	1
2017/2/27 22:00	8.873906046	12.73592157	3.587831767	987.2275755	6.003984182	3.003232006	79.69757862	0.125541841	22	0	1
2017/2/27 23:00	8.284087029	12.51523787	3.971896456	986.9325647	5.992231363	3.095738976	80.05122776	0.233301311	23	0	1
2017/2/28 0:00	9.65066355	13.71024182	4.891839926	987.1758388	5.821045791	2.442838709	77.80715642	0.428758552	0	1	1
2017/2/28 1:00	10.09382918	15.48048175	6.109480622	987.0594275	5.336499962	2.512831286	80.89974208	0.445536068	1	1	1
2017/2/28 2:00	8.68258639	12.91284109	6.196188154	986.8249907	4.028568421	2.588855132	88.83337633	0.444008983	2	1	1
2017/2/28 3:00	9.432923845	14.23385334	7.372928444	986.0972402	4.541125479	2.411850558	85.30003047	0.325042374	3	1	1
2017/2/28 4:00	9.412460289	13.71410287	6.959982258	986.5024944	3.755278451	2.319723566	89.24519297	0.301207519	4	1	1
2017/2/28 5:00	9.45648284	13.83684352	6.618180247	986.4220106	3.662712818	1.732659436	86.55949943	0.183527298	5	1	1
2017/2/28 6:00	9.297480611	13.77139847	7.250380791	986.0455417	3.816624732	1.906938285	87.46491926	0.272805829	6	1	1
2017/2/28 7:00	8.227687339	11.73731848	7.281749788	986.5528931	1.980822543	1.403075917	94.83460067	0.132204448	7	1	1
2017/2/28 8:00	6.946500582	11.14811715	7.182962545	985.6359968	3.962106323	2.571604612	91.55962786	0.362724203	8	1	1
2017/2/28 9:00	9.116505493	13.68688945	7.695581413	985.7591282	3.757556543	2.301240758	90.24578785	0.221304766	9	1	1
2017/2/28 10:00	8.325775705	12.23461634	6.981552619	987.1289857	4.663680436	2.959891116	89.40549218	0.275919591	10	1	1
2017/2/28 11:00	8.324592739	12.42649245	7.600512981	988.1369203	4.837998701	2.863401366	86.90591569	0.197145037	11	1	1
2017/2/28 12:00	9.288472926	13.66626743	7.621353319	988.6753661	5.600007127	2.896208656	82.66384707	0.154492082	12	1	1
2017/2/28 13:00	9.137484244	13.44003658	7.762387655	988.7224842	5.29463438	2.538476742	82.07981282	0.439518708	13	1	1
2017/2/28 14:00	8.773239621	12.78025684	7.780580419	988.3841465	5.517772906	2.645547742	81.18497516	0.350532579	14	1	1
2017/2/28 15:00	8.207515171	11.37763652	7.050783302	988.2927405	5.34223566	2.143493333	78.31881164	0.307780193	15	1	1
2017/2/28 16:00	6.743529896	9.129625912	6.912238029	988.025614	5.667308868	2.691191133	80.70052356	0.212613714	16	1	1
2017/2/28 17:00	6.568035324	9.234366967	6.896214933	988.6298685	5.356402675	2.192675556	77.85216785	0.537348406	17	1	1
2017/2/28 18:00	6.53925915	9.245471681	6.511066822	989.5520107	5.77440215	2.24750759	76.81288211	0.357321349	18	1	1
2017/2/28 19:00	6.623493667	10.15376306	5.246634398	990.5573946	5.278476769	1.775740279	76.49972259	0.271609196	19	1	1
2017/2/28 20:00	5.437283999	8.010930105	5.183375351	991.5913988	4.262713879	1.494774961	79.87000682	0.22422033	20	1	1
2017/2/28 21:00	5.552918372	7.46777207	4.263680642	992.2100414	4.993716729	1.911047219	78.75718706	0.22590254	21	1	1
